review_text,rating,review_date,bank_id,bank_name
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,com.combanketh.mobilebanking,CBE
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,com.combanketh.mobilebanking,CBE
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,com.combanketh.mobilebanking,CBE
very important app,4,2025-09-21,com.combanketh.mobilebanking,CBE
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,com.combanketh.mobilebanking,CBE
ok,5,2025-09-21,com.combanketh.mobilebanking,CBE
DANTRO BAND!!!,5,2025-09-21,com.combanketh.mobilebanking,CBE
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,com.combanketh.mobilebanking,CBE
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,com.combanketh.mobilebanking,CBE
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,com.combanketh.mobilebanking,CBE
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,com.combanketh.mobilebanking,CBE
asfaw damse,5,2025-09-19,com.combanketh.mobilebanking,CBE
ok,5,2025-09-19,com.combanketh.mobilebanking,CBE
nice,5,2025-09-19,com.combanketh.mobilebanking,CBE
jabadhaa namatii tolataan,5,2025-09-19,com.combanketh.mobilebanking,CBE
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,com.combanketh.mobilebanking,CBE
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,com.combanketh.mobilebanking,CBE
Truly amazing!,5,2025-09-18,com.combanketh.mobilebanking,CBE
Doesn't have option to generate statement for transactions,3,2025-09-18,com.combanketh.mobilebanking,CBE
😎,5,2025-09-18,com.combanketh.mobilebanking,CBE
JanaleBl,5,2025-09-17,com.combanketh.mobilebanking,CBE
very good,5,2025-09-17,com.combanketh.mobilebanking,CBE
nice application,5,2025-09-17,com.combanketh.mobilebanking,CBE
WaaaaaaaW,1,2025-09-17,com.combanketh.mobilebanking,CBE
very nice,5,2025-09-16,com.combanketh.mobilebanking,CBE
Of,5,2025-09-16,com.combanketh.mobilebanking,CBE
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,com.combanketh.mobilebanking,CBE
Easy to use and not Complicated 👍,5,2025-09-15,com.combanketh.mobilebanking,CBE
apdat the app,5,2025-09-14,com.combanketh.mobilebanking,CBE
good in bankin at any time & any where.,5,2025-09-13,com.combanketh.mobilebanking,CBE
great,5,2025-09-13,com.combanketh.mobilebanking,CBE
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,com.combanketh.mobilebanking,CBE
it is best to me,1,2025-09-13,com.combanketh.mobilebanking,CBE
hayizgi mebrahtom feshay,5,2025-09-13,com.combanketh.mobilebanking,CBE
best,5,2025-09-13,com.combanketh.mobilebanking,CBE
good,5,2025-09-12,com.combanketh.mobilebanking,CBE
great,5,2025-09-12,com.combanketh.mobilebanking,CBE
Excellent app,5,2025-09-12,com.combanketh.mobilebanking,CBE
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,com.combanketh.mobilebanking,CBE
love,5,2025-09-12,com.combanketh.mobilebanking,CBE
good,3,2025-09-11,com.combanketh.mobilebanking,CBE
Hasasa bank,1,2025-09-11,com.combanketh.mobilebanking,CBE
All ways Trusted.,5,2025-09-11,com.combanketh.mobilebanking,CBE
best MB application in Ethiopia financial sector.,5,2025-09-11,com.combanketh.mobilebanking,CBE
I like this app,5,2025-09-11,com.combanketh.mobilebanking,CBE
am tired why I have to update every 5 day,1,2025-09-11,com.combanketh.mobilebanking,CBE
excellent,5,2025-09-10,com.combanketh.mobilebanking,CBE
best,5,2025-09-10,com.combanketh.mobilebanking,CBE
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,com.combanketh.mobilebanking,CBE
good morning 🙏,5,2025-09-10,com.combanketh.mobilebanking,CBE
nice,5,2025-09-09,com.combanketh.mobilebanking,CBE
am happy 😃,5,2025-09-09,com.combanketh.mobilebanking,CBE
good,5,2025-09-09,com.combanketh.mobilebanking,CBE
wowww,5,2025-09-08,com.combanketh.mobilebanking,CBE
KEHRU nasir AbFIXA,5,2025-09-08,com.combanketh.mobilebanking,CBE
It is well organized.,5,2025-09-08,com.combanketh.mobilebanking,CBE
Can't see the nearest Branch or ATM available,2,2025-09-08,com.combanketh.mobilebanking,CBE
excellent,5,2025-09-08,com.combanketh.mobilebanking,CBE
very good,5,2025-09-07,com.combanketh.mobilebanking,CBE
the app does not open,1,2025-09-07,com.combanketh.mobilebanking,CBE
from Monk,3,2025-09-06,com.combanketh.mobilebanking,CBE
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06,com.combanketh.mobilebanking,CBE
incredible,5,2025-09-06,com.combanketh.mobilebanking,CBE
good,5,2025-09-06,com.combanketh.mobilebanking,CBE
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06,com.combanketh.mobilebanking,CBE
it's the best money transfer app ever,5,2025-09-06,com.combanketh.mobilebanking,CBE
it is nice,5,2025-09-05,com.combanketh.mobilebanking,CBE
user friendly. best.,5,2025-09-05,com.combanketh.mobilebanking,CBE
